code	loc
AF	33,65
AL	41,20
DZ	28,3
AS	-14.3333333333333,-170
AD	42.5,1.5
AO	-12.5,18.5
AI	18.25,-63.1666666666667
AQ	-90,0
AG	17.05,-61.8
AR	-34,-64
AM	40,45
AW	12.5,-69.9666666666667
AU	-27,133
AT	47.3333333333333,13.3333333333333
AZ	40.5,47.5
BS	24.25,-76
BH	26,50.55
BD	24,90
BB	13.1666666666667,-59.5333333333333
BY	53,28
BE	50.8333333333333,4
BZ	17.25,-88.75
BJ	9.5,2.25
BM	32.3333333333333,-64.75
BT	27.5,90.5
BO	-17,-65
BA	44,18
BW	-22,24
BV	-54.4333333333333,3.4
BR	-10,-55
IO	-6,71.5
VG	18.5,64.5
BN	4.5,114.666666666667
BG	43,25
BF	13,-2
MM	22,98
BI	-3.5,30
CV	16,-24
KH	13,105
CM	6,12
CA	60,-95
KY	19.5,-80.5
CF	7,21
TD	15,19
CL	-30,-71
CN	35,105
CX	-10.5,105.666666666667
CC	-12.5,96.8333333333333
CO	4,-72
KM	-12.1666666666667,44.25
CD	0,25
CG	-1,15
CK	-21.2333333333333,-159.766666666667
CR	10,-84
CI	8,-5
HR	45.1666666666667,15.5
CU	21.5,-80
CW	12.1666666666667,-69
CY	35,33
CZ	49.75,15.5
DK	56,10
DJ	11.5,43
DM	15.4166666666667,-61.3333333333333
DO	19,-70.6666666666667
EC	-2,-77.5
EG	27,30
SV	13.8333333333333,-88.9166666666667
GQ	2,10
ER	15,39
EE	59,26
ET	8,38
FK	-51.75,-59
FO	62,-7
FJ	-18,175
FI	64,26
FR	46,2
GF	4,-53
PF	-15,-140
TF	-37.8333333333333,77.5333333333333
GA	-1,11.75
GM	13.4666666666667,16.5666666666667
GE	42,43.5
DE	51,9
GH	8,-2
GI	36.1333333333333,-5.35
GR	39,22
GL	72,-40
GD	12.1166666666667,-61.6666666666667
GU	13.4666666666667,144.783333333333
GT	15.5,-90.25
GG	49.4666666666667,-2.58333333333333
GN	11,-10
GW	12,-15
GY	5,-59
HT	19,-72.4166666666667
HM	-53.1,72.5166666666667
VA	41.9,12.45
HN	15,-86.5
HK	22.25,114.166666666667
HU	47,20
IS	65,-18
IN	20,77
ID	-5,120
IR	32,53
IQ	33,44
IE	53,-8
IM	54.25,-4.5
IL	31.5,34.75
IT	42.8333333333333,12.8333333333333
JM	18.25,-77.5
JP	36,138
JE	49.25,-2.16666666666667
JO	31,36
KZ	48,68
KE	1,38
KI	1.41666666666667,173
KP	40,127
KR	37,127.5
XK	42.5833333333333,21
KW	29.5,45.75
KG	41,75
LA	18,105
LV	57,25
LB	33.8333333333333,35.8333333333333
LS	-29.5,28.5
LR	6.5,-9.5
LY	25,17
LI	47.2666666666667,9.53333333333333
LT	56,24
LU	49.75,6.16666666666667
MO	22.1666666666667,113.55
MK	41.8333333333333,22
MG	-20,47
MW	-13.5,34
MY	2.5,112.5
MV	3.25,73
ML	17,-4
MT	35.8333333333333,14.5833333333333
MH	9,168
MQ	
MR	20,-12
MU	-20.2833333333333,57.55
YT	-12.8431,45.1383
MX	23,-102
FM	6.91666666666667,158.25
MD	47,29
MC	43.7333333333333,7.4
MN	46,105
ME	42.5,19.3
MS	16.75,-62.2
MA	32,-5
MZ	-18.25,35
NA	-22,17
NR	-0.533333333333333,166.916666666667
NP	28,84
NL	52.5,5.75
NC	-21.5,165.5
NZ	-41,174
NI	13,-85
NE	16,8
NG	10,8
NU	-19.0333333333333,-169.866666666667
NF	-29.0333333333333,167.95
MP	15.2,145.75
NO	62,10
OM	21,57
PK	30,70
PW	7.5,134.5
PA	9,-80
PG	-6,147
PY	-23,-58
PE	-10,-76
PH	13,122
PN	-25.0666666666667,-130.1
PL	52,20
PT	39.5,-8
PR	18.25,-66.5
QA	25.5,51.25
RE	-21.1144,55.5325
RO	46,25
RU	60,100
RW	-2,30
BL	18.5,-63.4166666666667
SH	-15.95,-5.7
KN	17.3333333333333,-62.75
LC	13.8833333333333,-60.9666666666667
MF	18.0833333333333,-63.95
PM	46.8333333333333,-56.3333333333333
VC	13.25,-61.2
WS	-13.5833333333333,-172.333333333333
SM	43.7666666666667,12.4166666666667
ST	1,7
SA	25,45
SN	14,-14
RS	44,21
SC	-4.58333333333333,55.6666666666667
SL	8.5,-11.5
SG	1.36666666666667,103.8
SX	18.0666666666667,-63.0666666666667
SK	48.6666666666667,19.5
SI	46.1166666666667,14.8166666666667
SB	-8,159
SO	10,49
ZA	-29,24
GS	-54.5,-37
SS	8,30
ES	40,-4
LK	7,81
SD	15,30
SR	4,-56
SJ	78,20
SZ	-26.5,31.5
SE	62,15
CH	47,8
SY	35,38
TW	23.5,121
TJ	39,71
TZ	-6,35
TH	15,100
TL	-8.83333333333333,125.916666666667
TG	8,1.16666666666667
TK	-9,-172
TO	-20,-175
TT	11,-61
TN	34,9
TR	39,35
TM	40,60
TC	21.75,-71.5833333333333
TV	-8,178
UG	1,32
UA	49,32
AE	24,54
GB	54,-2
US	38,-97
UM	19.3,166.6333
UY	-33,-56
UZ	41,64
VU	-16,167
VE	8,-66
VN	16.1666666666667,107.833333333333
VI	18.3333333333333,-64.8333333333333
WF	-13.3,-176.2
EH	24.5,-13
YE	15,48
ZM	-15,30
ZW	-20,30
AX	60,54
BQ	12.1833,-68.25
PS	31.8833,35.2
